week,Foreign Policy,Climate Change,Immigration,Economy,Same-Sex Marriage,Health Care,Taxes,Education,National Security,Gun Control
1,9,6,4,5,7,3,1,2,10,8
2,9,7,4,5,6,3,1,2,10,8
3,9,7,4,5,6,3,1,2,10,8
4,9,7,4,5,6,3,1,2,10,8
5,9,7,4,5,6,3,1,2,10,8
6,9,7,4,5,6,3,1,2,10,8
7,9,7,4,5,6,3,1,2,10,8
8,9,7,4,5,6,3,1,2,10,8
9,9,7,4,5,6,3,1,2,10,8
10,9,7,4,5,6,3,1,2,10,8
11,9,7,4,5,6,3,1,2,10,8
12,9,7,4,5,6,3,1,2,10,8
13,9,7,4,5,6,3,2,1,10,8
14,10,7,4,5,6,3,1,2,9,8
15,9,7,4,5,6,3,1,2,10,8
16,9,7,4,5,6,3,1,2,10,8
17,9,7,4,5,6,3,1,2,10,8
18,9,7,4,5,6,3,1,2,10,8
19,9,7,4,5,6,3,1,2,10,8
20,9,8,4,5,6,3,1,2,10,7
21,9,8,4,5,6,3,1,2,9,7
22,9,7,4,5,6,3,1,2,10,8
