week,Jeb Bush,Ben Carson,Chris Christie,Ted Cruz,Mike Huckabee,John Kasich,Rand Paul,Marco Rubio,Donald Trump,Scott Walker,Carly Fiorina,Jim Gilmore,Lindsey Graham,Bobby Jindal,George Pataki,Rick Perry,Rick Santorum
1,6,4,3,7,15,9,7,10,1,2,5,15,14,13,15,11,11
2,4,6,2,3,13,7,8,9,1,5,11,17,12,13,16,10,15
3,2,6,2,4,12,7,8,11,1,5,9,17,10,13,16,15,14
4,4,5,2,3,12,8,10,13,1,6,7,17,9,14,16,11,15
5,4,2,5,5,9,3,11,13,1,7,10,15,12,14,17,8,16
6,5,4,7,6,2,3,10,14,1,9,11,16,13,12,17,8,15
7,2,3,6,8,9,4,11,12,1,7,10,16,13,14,17,5,15
8,3,2,6,5,10,3,11,12,1,7,9,15,14,13,17,8,16
9,3,2,5,8,10,4,11,12,1,6,9,16,13,15,17,7,14
10,3,2,6,5,11,4,10,15,1,7,13,16,12,14,17,8,9
11,3,2,7,5,11,4,10,15,1,6,9,17,14,12,16,8,12
12,2,3,6,4,12,5,10,11,1,7,8,16,15,13,17,9,14
13,2,3,5,4,11,6,10,11,1,7,8,15,16,13,17,9,14
14,2,3,5,4,11,6,8,14,1,7,9,15,13,12,17,10,15
15,2,3,4,5,12,6,9,11,1,7,10,16,13,14,17,8,15
16,2,3,4,4,11,6,8,12,1,7,10,16,13,14,17,9,15
17,5,3,6,2,9,4,10,11,1,7,12,16,14,13,17,8,15
18,5,2,7,2,4,8,11,12,1,9,10,17,15,14,16,6,13
19,4,3,2,5,12,6,8,11,1,7,9,16,14,13,17,10,15
20,3,2,6,4,12,5,10,13,1,7,8,17,11,15,16,9,14
21,2,4,7,3,13,5,10,11,1,6,9,16,12,14,17,8,15
22,2,3,5,4,15,6,11,12,1,7,9,16,14,10,17,8,12
